,index,순번,시도본부,소방서,119안전센터명,주소,전화번호,위도,경도
50,724,725,충남,당진,기지시119안전센터,충청남도 당진시 송악읍 틀모시로 844,041-350-5442,36.9083467,126.690753
51,725,726,충남,금산,금산119안전센터,충청남도 금산군 금산읍 삼풍로 2,041-750-1332,36.0949282,127.4839708
52,726,727,충남,금산,추부119안전센터,충청남도 금산군 추부면 삼육로 47,041-750-1362,36.193736,127.469028
53,727,728,충남,금산,복진119안전센터,충청남도 금산군 진산면 읍내로 49-1,041-750-1382,36.1423229,127.3676138
54,728,729,충남,부여,백제119안전센터,충청남도 부여군 규암면 계백로17,041-830-0331,36.2749405,126.882262
55,729,730,충남,부여,사비119안전센터,충청남도 부여군 부여읍 북포로 29,041-830-0362,36.3074308,126.9297082
56,730,731,충남,부여,홍산119안전센터,충청남도 부여군 홍산면 북토로 89,041-830-0382,36.2143729,126.7631794
57,731,732,충남,부여,임천119안전센터,충청남도 부여군 임천면 성흥로179번길 1,041-830-0402,36.1840685,126.896541
58,732,733,충남,부여,외산119안전센터,충청남도 부여군 외산면 만수로 235,041-830-0422,36.33243,126.7239605
59,733,734,충남,서천,장항119안전센터,충청남도 서천군 장항읍 장항로 37,041-955-0330,36.0135189,126.6829559
60,734,735,충남,서천,서천119안전센터,충청남도 서천군 서천읍 충절로49번길 33-8,041-955-0360,36.0767681,126.6881811
61,735,736,충남,서천,비인119안전센터,충청남도 서천군 비인면 비인로 141,041-955-0380,36.1410086,126.6024329
62,736,737,충남,서천,서면119안전센터,충청남도 서천군 서면 부사로 153,041-955-0400,36.19751,126.54766
63,737,738,충남,서천,한산119안전센터,충청남도 서천군 한산면 충절로 1164,041-955-0420,36.1018168,126.8299764
64,738,739,충남,서천,판교119안전센터,충청남도 서천군 판교면 대백제로 1953-24,041-955-0440,36.1608822,126.6910544
65,739,740,충남,청양,청양119안전센터,충청남도 청양군 청양읍 충절로 1187,041-940-7332,36.4427794,126.7948886
66,740,741,충남,청양,정산119안전센터,충청남도 청양군 정산면 서정4길 49,041-940-7362,36.4164779,126.9481551
67,741,742,충남,홍성,구룡119안전센터,충청남도 홍성군 홍성읍 충절로 741,041-630-0334,36.5883346,126.6873962
68,742,743,충남,홍성,광천119안전센터,충청남도 홍성군 광천읍 충서로 354,041-630-0382,36.5087294,126.6179224
69,743,744,충남,홍성,옥암119안전센터,충청남도 홍성군 홍성읍 충서로 1258,041-630-0362,36.6053825,126.6565873
70,744,745,충남,홍성,내포119안전센터,충청남도 홍성군 홍북읍 의향로 133,041-630-0422,36.6449169,126.674968
71,745,746,충남,홍성,갈산119안전센터,충청남도 홍성군 갈산면 갈산로150번길 16,041-630-0402,36.5998596,126.554384
72,746,747,충남,예산,오가119안전센터,충청남도 예산군 오가면 오가중앙로 111,041-330-4332,36.6879714,126.7977013
73,747,748,충남,예산,금오119안전센터,충청남도 예산군 예산읍 예당관광로 760,041-330-4362,36.6556497,126.8175956
74,748,749,충남,예산,삽교119안전센터,충청남도 예산군 삽교읍 삽교로1길 34,041-330-4382,36.6884671,126.7378115
75,749,750,충남,예산,덕산119안전센터,충청남도 예산군 덕산면 도청대로 1160,041-330-4402,36.6868339,126.6764226
76,750,751,충남,태안,태안119안전센터,충청남도 태안군 태안읍 동백로 100,041-671-0332,36.757972,126.2893349
77,751,752,충남,태안,안면119안전센터,충청남도 태안군 안면읍 장터로 77,041-671-0362,36.5158388,126.3480809
78,752,753,충남,태안,원북119안전센터,충청남도 태안군 원북면 원이로 1031,041-671-0382,36.8073688,126.2601392
79,753,754,충남,태안,근흥119안전센터,충청남도 태안군 근흥면 신진대교길 201-8,041-671-0402,36.6824501,126.147418
